taxon_phylum,taxon_class,taxon_order,taxon_family,taxon_genus,scientific_name,growth_form,gf_code,pigment_type,height_class
Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Sarcodiotheca,Sarcodiotheca_furcata,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum_horneri,leathery_macrophyte,LM,brown,
Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum_muticum,leathery_macrophyte,LM,brown,
Rhodophyta,Florideophyceae,Nemaliales,Scinaiaceae,Scinaia,Scinaia_confusa,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,Scytosiphon,Scytosiphon_lomentaria,corticated_macrophytes,CM,brown,
Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Stenogramma,Stenogramma_californica,corticated_macrophytes,CM,red,
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Taonia,Taonia_lennebackerae,corticated_foliose,CF,brown,
Ochrophyta,Phaeophyceae,-99999,-99999,-99999,Phaeophyceae,unc_brown,NA,brown,
Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva,foliose,F,green,
Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,Zostera,Zostera_marina,vascular_plant,VP,,
Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Anisocladella,Anisocladella_pacifica,corticated_macrophytes,CM,red,
